MLB Predicted Standings
""
AL East Standings
Team,Wins,Losses
NYY,107,55
TB,87,75
TOR,86,76
BAL,79,83
BOS,76,86
AL Central Standings
Team,Wins,Losses
MIN,85,77
CLE,80,82
CHW,79,83
DET,64,98
KC,62,100
AL West Standings
Team,Wins,Losses
HOU,107,55
SEA,91,71
LAA,72,90
OAK,71,91
TEX,70,92
NL East Standings
Team,Wins,Losses
ATL,94,68
NYM,92,70
MIA,84,78
PHI,81,81
WSH,53,109
NL Central Standings
Team,Wins,Losses
MIL,91,71
STL,82,80
CHC,74,88
PIT,70,92
CIN,57,105
NL West Standings
Team,Wins,Losses
LAD,101,61
SD,83,79
SF,82,80
COL,76,86
ARI,73,89
Total Wins,Total Games
2409,2430.0
