Date,Opponent,Actual Result,Predicted Result,H2H Wins,H2H Losses,Win %
2022-04-07,SD,W,-,1,0,0.667
2022-04-08,SD,L,-,1,1,0.5
2022-04-09,SD,L,-,1,2,0.4
2022-04-10,SD,L,-,1,3,0.333
2022-04-12,HOU,L,-,0,1,0.333
2022-04-13,HOU,W,-,1,1,0.5
2022-04-15,NYM,L,-,0,1,0.333
2022-04-16,NYM,W,-,1,1,0.5
2022-04-17,NYM,L,-,1,2,0.4
2022-04-19,WSH,L,-,0,1,0.333
2022-04-19,WSH,L,-,0,2,0.25
2022-04-20,WSH,W,-,1,2,0.4
2022-04-21,WSH,W,-,2,2,0.5
2022-04-22,NYM,L,-,1,3,0.333
2022-04-23,NYM,W,-,2,3,0.429
2022-04-24,NYM,L,-,2,4,0.375
2022-04-25,LAD,L,-,0,1,0.333
2022-04-26,LAD,W,-,1,1,0.5
2022-04-27,LAD,W,-,2,1,0.6
2022-04-28,STL,L,-,0,1,0.333
2022-04-29,STL,W,-,1,1,0.5
2022-04-30,STL,W,-,2,1,0.6
2022-05-01,STL,L,-,2,2,0.5
2022-05-02,MIA,W,-,1,0,0.667
2022-05-03,MIA,W,-,2,0,0.75
2022-05-04,MIA,W,-,3,0,0.8
2022-05-06,COL,W,-,1,0,0.667
2022-05-07,COL,L,-,1,1,0.5
2022-05-08,COL,W,-,2,1,0.6
2022-05-09,MIA,W,-,4,0,0.833
2022-05-10,MIA,W,-,5,0,0.857
2022-05-11,MIA,L,-,5,1,0.75
2022-05-13,CHC,W,-,1,0,0.667
2022-05-14,CHC,L,-,1,1,0.5
2022-05-15,CHC,L,-,1,2,0.4
2022-05-16,LAD,L,-,2,2,0.5
2022-05-17,LAD,L,-,2,3,0.429
2022-05-17,LAD,L,-,2,4,0.375
2022-05-18,LAD,L,-,2,5,0.333
2022-05-19,CHC,W,-,2,2,0.5
2022-05-20,CHC,W,-,3,2,0.571
2022-05-21,CHC,W,-,4,2,0.625
2022-05-22,CHC,L,-,4,3,0.556
2022-05-23,KC,W,-,1,0,0.667
2022-05-24,KC,W,-,2,0,0.75
2022-05-26,LAD,L,-,2,6,0.3
2022-05-27,LAD,L,-,2,7,0.273
2022-05-28,LAD,L,-,2,8,0.25
2022-05-29,LAD,L,-,2,9,0.231
2022-05-30,ATL,W,-,1,0,0.667
2022-05-31,ATL,W,-,2,0,0.75
2022-06-01,ATL,L,-,2,1,0.6
2022-06-03,PIT,W,-,1,0,0.667
2022-06-04,PIT,L,-,1,1,0.5
2022-06-05,PIT,L,-,1,2,0.4
2022-06-06,CIN,L,-,0,1,0.333
2022-06-07,CIN,L,-,0,2,0.25
2022-06-08,CIN,W,-,1,2,0.4
2022-06-09,CIN,W,-,2,2,0.5
2022-06-10,PHI,L,-,0,1,0.333
2022-06-11,PHI,L,-,0,2,0.25
2022-06-12,PHI,W,-,1,2,0.4
2022-06-13,CIN,L,-,2,3,0.429
2022-06-14,CIN,L,-,2,4,0.375
2022-06-15,CIN,W,-,3,4,0.444
2022-06-17,MIN,W,-,1,0,0.667
2022-06-18,MIN,L,-,1,1,0.5
2022-06-19,MIN,W,-,2,1,0.6
2022-06-20,SD,L,-,1,4,0.286
2022-06-21,SD,L,-,1,5,0.25
2022-06-22,SD,L,-,1,6,0.222
2022-06-24,DET,L,-,0,1,0.333
2022-06-25,DET,L,-,0,2,0.25
2022-06-26,DET,W,-,1,2,0.4
2022-06-28,SD,W,-,2,6,0.3
2022-06-29,SD,L,-,2,7,0.273
2022-07-01,COL,W,-,3,1,0.667
2022-07-02,COL,L,-,3,2,0.571
2022-07-03,COL,L,-,3,3,0.5
2022-07-04,SF,W,-,1,0,0.667
2022-07-05,SF,W,-,2,0,0.75
2022-07-06,SF,L,-,2,1,0.6
2022-07-07,COL,L,-,3,4,0.444
2022-07-08,COL,L,-,3,5,0.4
2022-07-09,COL,W,-,4,5,0.455
2022-07-10,COL,L,-,4,6,0.417
2022-07-11,SF,W,-,3,1,0.667
2022-07-12,SF,L,-,3,2,0.571
2022-07-13,SF,L,-,3,3,0.5
2022-07-15,SD,L,-,2,8,0.25
2022-07-16,SD,L,-,2,9,0.231
2022-07-17,SD,W,-,3,9,0.286
2022-07-22,WSH,W,-,3,2,0.571
2022-07-23,WSH,W,-,4,2,0.625
2022-07-24,WSH,L,-,4,3,0.556
2022-07-25,SF,,W,3,3,0.5
2022-07-26,SF,,W,3,3,0.5
2022-07-27,SF,,L,3,3,0.5
2022-07-29,ATL,,W,2,1,0.6
2022-07-30,ATL,,W,2,1,0.6
2022-07-31,ATL,,W,2,1,0.6
2022-08-01,CLE,,L,0,0,0.5
2022-08-02,CLE,,W,0,0,0.5
2022-08-03,CLE,,L,0,0,0.5
2022-08-05,COL,,L,4,6,0.417
2022-08-06,COL,,W,4,6,0.417
2022-08-07,COL,,L,4,6,0.417
2022-08-08,PIT,,L,1,2,0.4
2022-08-09,PIT,,W,1,2,0.4
2022-08-10,PIT,,L,1,2,0.4
2022-08-11,PIT,,L,1,2,0.4
2022-08-12,COL,,W,4,6,0.417
2022-08-13,COL,,L,4,6,0.417
2022-08-14,COL,,W,4,6,0.417
2022-08-15,SF,,W,3,3,0.5
2022-08-16,SF,,L,3,3,0.5
2022-08-17,SF,,W,3,3,0.5
2022-08-18,SF,,L,3,3,0.5
2022-08-19,STL,,W,2,2,0.5
2022-08-20,STL,,L,2,2,0.5
2022-08-21,STL,,L,2,2,0.5
2022-08-23,KC,,L,2,0,0.75
2022-08-24,KC,,W,2,0,0.75
2022-08-26,CHW,,L,0,0,0.5
2022-08-27,CHW,,L,0,0,0.5
2022-08-28,CHW,,L,0,0,0.5
2022-08-29,PHI,,W,1,2,0.4
2022-08-30,PHI,,W,1,2,0.4
2022-08-31,PHI,,L,1,2,0.4
2022-09-01,MIL,,W,0,0,0.5
2022-09-02,MIL,,W,0,0,0.5
2022-09-03,MIL,,W,0,0,0.5
2022-09-04,MIL,,W,0,0,0.5
2022-09-05,SD,,L,3,9,0.286
2022-09-06,SD,,W,3,9,0.286
2022-09-07,SD,,W,3,9,0.286
2022-09-09,COL,,L,4,6,0.417
2022-09-10,COL,,L,4,6,0.417
2022-09-11,COL,,L,4,6,0.417
2022-09-12,LAD,,W,2,9,0.231
2022-09-13,LAD,,W,2,9,0.231
2022-09-14,LAD,,L,2,9,0.231
2022-09-15,SD,,L,3,9,0.286
2022-09-16,SD,,L,3,9,0.286
2022-09-17,SD,,L,3,9,0.286
2022-09-18,SD,,L,3,9,0.286
2022-09-19,LAD,,L,2,9,0.231
2022-09-20,LAD,,L,2,9,0.231
2022-09-20,LAD,,L,2,9,0.231
2022-09-21,LAD,,L,2,9,0.231
2022-09-22,LAD,,L,2,9,0.231
2022-09-23,SF,,L,3,3,0.5
2022-09-24,SF,,W,3,3,0.5
2022-09-25,SF,,L,3,3,0.5
2022-09-27,HOU,,L,1,1,0.5
