Date,Opponent,Actual Result,Predicted Result,H2H Wins,H2H Losses,Win %
2022-04-07,CIN,L,-,0,1,0.333
2022-04-08,CIN,W,-,1,1,0.5
2022-04-09,CIN,W,-,2,1,0.6
2022-04-10,CIN,L,-,2,2,0.5
2022-04-11,WSH,L,-,0,1,0.333
2022-04-12,WSH,W,-,1,1,0.5
2022-04-13,WSH,L,-,1,2,0.4
2022-04-14,SD,L,-,0,1,0.333
2022-04-15,SD,W,-,1,1,0.5
2022-04-16,SD,W,-,2,1,0.6
2022-04-17,SD,L,-,2,2,0.5
2022-04-18,LAD,L,-,0,1,0.333
2022-04-19,LAD,W,-,1,1,0.5
2022-04-20,LAD,L,-,1,2,0.4
2022-04-22,MIA,W,-,1,0,0.667
2022-04-23,MIA,L,-,1,1,0.5
2022-04-24,MIA,L,-,1,2,0.4
2022-04-26,CHC,W,-,1,0,0.667
2022-04-27,CHC,L,-,1,1,0.5
2022-04-28,CHC,W,-,2,1,0.6
2022-04-29,TEX,W,-,1,0,0.667
2022-04-30,TEX,L,-,1,1,0.5
2022-05-01,TEX,L,-,1,2,0.4
2022-05-02,NYM,W,-,1,0,0.667
2022-05-03,NYM,L,-,1,1,0.5
2022-05-03,NYM,L,-,1,2,0.4
2022-05-04,NYM,W,-,2,2,0.5
2022-05-06,MIL,L,-,0,1,0.333
2022-05-07,MIL,W,-,1,1,0.5
2022-05-08,MIL,W,-,2,1,0.6
2022-05-10,BOS,L,-,0,1,0.333
2022-05-11,BOS,W,-,1,1,0.5
2022-05-13,SD,L,-,2,3,0.429
2022-05-14,SD,W,-,3,3,0.5
2022-05-15,SD,L,-,3,4,0.444
2022-05-16,MIL,L,-,2,2,0.5
2022-05-17,MIL,W,-,3,2,0.571
2022-05-18,MIL,L,-,3,3,0.5
2022-05-20,MIA,W,-,2,2,0.5
2022-05-21,MIA,W,-,3,2,0.571
2022-05-22,MIA,L,-,3,3,0.5
2022-05-23,PHI,L,-,0,1,0.333
2022-05-24,PHI,W,-,1,1,0.5
2022-05-25,PHI,W,-,2,1,0.6
2022-05-26,PHI,L,-,2,2,0.5
2022-05-27,MIA,W,-,4,3,0.556
2022-05-28,MIA,L,-,4,4,0.5
2022-05-29,MIA,W,-,5,4,0.545
2022-05-30,ARI,L,-,0,1,0.333
2022-05-31,ARI,L,-,0,2,0.25
2022-06-01,ARI,W,-,1,2,0.4
2022-06-02,COL,W,-,1,0,0.667
2022-06-03,COL,W,-,2,0,0.75
2022-06-04,COL,W,-,3,0,0.8
2022-06-05,COL,W,-,4,0,0.833
2022-06-07,OAK,W,-,1,0,0.667
2022-06-08,OAK,W,-,2,0,0.75
2022-06-09,PIT,W,-,1,0,0.667
2022-06-10,PIT,W,-,2,0,0.75
2022-06-11,PIT,W,-,3,0,0.8
2022-06-12,PIT,W,-,4,0,0.833
2022-06-13,WSH,W,-,2,2,0.5
2022-06-14,WSH,W,-,3,2,0.571
2022-06-15,WSH,W,-,4,2,0.625
2022-06-17,CHC,L,-,2,2,0.5
2022-06-18,CHC,L,-,2,3,0.429
2022-06-19,CHC,W,-,3,3,0.5
2022-06-20,SF,W,-,1,0,0.667
2022-06-21,SF,L,-,1,1,0.5
2022-06-22,SF,W,-,2,1,0.6
2022-06-23,SF,W,-,3,1,0.667
2022-06-24,LAD,L,-,1,3,0.333
2022-06-25,LAD,W,-,2,3,0.429
2022-06-26,LAD,L,-,2,4,0.375
2022-06-28,PHI,W,-,3,2,0.571
2022-06-29,PHI,W,-,4,2,0.625
2022-06-30,PHI,L,-,4,3,0.556
2022-07-01,CIN,W,-,3,2,0.571
2022-07-02,CIN,W,-,4,2,0.625
2022-07-03,CIN,L,-,4,3,0.556
2022-07-04,STL,W,-,1,0,0.667
2022-07-05,STL,W,-,2,0,0.75
2022-07-06,STL,W,-,3,0,0.8
2022-07-07,STL,L,-,3,1,0.667
2022-07-08,WSH,W,-,5,2,0.667
2022-07-09,WSH,W,-,6,2,0.7
2022-07-10,WSH,W,-,7,2,0.727
2022-07-11,NYM,L,-,2,3,0.429
2022-07-12,NYM,W,-,3,3,0.5
2022-07-13,NYM,L,-,3,4,0.444
2022-07-14,WSH,W,-,8,2,0.75
2022-07-15,WSH,W,-,9,2,0.769
2022-07-16,WSH,W,-,10,2,0.786
2022-07-17,WSH,L,-,10,3,0.733
2022-07-22,LAA,W,-,1,0,0.667
2022-07-23,LAA,W,-,2,0,0.75
2022-07-24,LAA,L,-,2,1,0.6
2022-07-25,PHI,,W,4,3,0.556
2022-07-26,PHI,,W,4,3,0.556
2022-07-27,PHI,,L,4,3,0.556
2022-07-29,ARI,,L,1,2,0.4
2022-07-30,ARI,,W,1,2,0.4
2022-07-31,ARI,,W,1,2,0.4
2022-08-02,PHI,,W,4,3,0.556
2022-08-03,PHI,,L,4,3,0.556
2022-08-04,NYM,,L,3,4,0.444
2022-08-05,NYM,,W,3,4,0.444
2022-08-06,NYM,,L,3,4,0.444
2022-08-06,NYM,,L,3,4,0.444
2022-08-07,NYM,,W,3,4,0.444
2022-08-09,BOS,,W,1,1,0.5
2022-08-10,BOS,,W,1,1,0.5
2022-08-12,MIA,,W,5,4,0.545
2022-08-13,MIA,,L,5,4,0.545
2022-08-13,MIA,,W,5,4,0.545
2022-08-14,MIA,,L,5,4,0.545
2022-08-15,NYM,,W,3,4,0.444
2022-08-16,NYM,,L,3,4,0.444
2022-08-17,NYM,,L,3,4,0.444
2022-08-18,NYM,,L,3,4,0.444
2022-08-19,HOU,,W,0,0,0.5
2022-08-20,HOU,,L,0,0,0.5
2022-08-21,HOU,,W,0,0,0.5
2022-08-22,PIT,,W,4,0,0.833
2022-08-23,PIT,,W,4,0,0.833
2022-08-24,PIT,,L,4,0,0.833
2022-08-26,STL,,L,3,1,0.667
2022-08-27,STL,,L,3,1,0.667
2022-08-28,STL,,W,3,1,0.667
2022-08-30,COL,,L,4,0,0.833
2022-08-31,COL,,W,4,0,0.833
2022-09-01,COL,,W,4,0,0.833
2022-09-02,MIA,,W,5,4,0.545
2022-09-03,MIA,,L,5,4,0.545
2022-09-04,MIA,,W,5,4,0.545
2022-09-06,OAK,,L,2,0,0.75
2022-09-07,OAK,,W,2,0,0.75
2022-09-09,SEA,,W,0,0,0.5
2022-09-10,SEA,,L,0,0,0.5
2022-09-11,SEA,,L,0,0,0.5
2022-09-12,SF,,W,3,1,0.667
2022-09-13,SF,,L,3,1,0.667
2022-09-14,SF,,W,3,1,0.667
2022-09-16,PHI,,W,4,3,0.556
2022-09-17,PHI,,W,4,3,0.556
2022-09-18,PHI,,W,4,3,0.556
2022-09-19,WSH,,W,10,3,0.733
2022-09-20,WSH,,W,10,3,0.733
2022-09-21,WSH,,W,10,3,0.733
2022-09-22,PHI,,L,4,3,0.556
2022-09-23,PHI,,L,4,3,0.556
2022-09-24,PHI,,L,4,3,0.556
2022-09-25,PHI,,W,4,3,0.556
2022-09-26,WSH,,L,10,3,0.733
2022-09-27,WSH,,W,10,3,0.733
2022-09-28,WSH,,W,10,3,0.733
2022-09-30,NYM,,L,3,4,0.444
2022-10-01,NYM,,L,3,4,0.444
2022-10-02,NYM,,L,3,4,0.444
2022-10-03,MIA,,W,5,4,0.545
2022-10-04,MIA,,L,5,4,0.545
2022-10-05,MIA,,W,5,4,0.545
Wins,Losses,Win %
94,68,0.58
