Date,Opponent,Actual Result,Predicted Result,H2H Wins,H2H Losses,Win %
2022-04-08,NYY,L,-,0,1,0.333
2022-04-09,NYY,L,-,0,2,0.25
2022-04-10,NYY,W,-,1,2,0.4
2022-04-11,DET,L,-,0,1,0.333
2022-04-12,DET,W,-,1,1,0.5
2022-04-13,DET,W,-,2,1,0.6
2022-04-15,MIN,L,-,0,1,0.333
2022-04-16,MIN,W,-,1,1,0.5
2022-04-17,MIN,W,-,2,1,0.6
2022-04-18,MIN,L,-,2,2,0.5
2022-04-19,TOR,W,-,1,0,0.667
2022-04-20,TOR,L,-,1,1,0.5
2022-04-21,TOR,L,-,1,2,0.4
2022-04-22,TB,W,-,1,0,0.667
2022-04-23,TB,L,-,1,1,0.5
2022-04-24,TB,L,-,1,2,0.4
2022-04-25,TOR,L,-,1,3,0.333
2022-04-26,TOR,L,-,1,4,0.286
2022-04-27,TOR,W,-,2,4,0.375
2022-04-28,TOR,L,-,2,5,0.333
2022-04-29,BAL,W,-,1,0,0.667
2022-04-30,BAL,L,-,1,1,0.5
2022-05-01,BAL,L,-,1,2,0.4
2022-05-03,LAA,W,-,1,0,0.667
2022-05-04,LAA,L,-,1,1,0.5
2022-05-05,LAA,L,-,1,2,0.4
2022-05-06,CHW,L,-,0,1,0.333
2022-05-07,CHW,L,-,0,2,0.25
2022-05-08,CHW,L,-,0,3,0.2
2022-05-10,ATL,W,-,1,0,0.667
2022-05-11,ATL,L,-,1,1,0.5
2022-05-13,TEX,W,-,1,0,0.667
2022-05-14,TEX,W,-,2,0,0.75
2022-05-15,TEX,L,-,2,1,0.6
2022-05-16,HOU,W,-,1,0,0.667
2022-05-17,HOU,L,-,1,1,0.5
2022-05-18,HOU,W,-,2,1,0.6
2022-05-19,SEA,W,-,1,0,0.667
2022-05-20,SEA,W,-,2,0,0.75
2022-05-21,SEA,W,-,3,0,0.8
2022-05-22,SEA,W,-,4,0,0.833
2022-05-24,CHW,W,-,1,3,0.333
2022-05-25,CHW,L,-,1,4,0.286
2022-05-26,CHW,W,-,2,4,0.375
2022-05-27,BAL,L,-,1,3,0.333
2022-05-28,BAL,W,-,2,3,0.429
2022-05-28,BAL,L,-,2,4,0.375
2022-05-29,BAL,W,-,3,4,0.444
2022-05-30,BAL,L,-,3,5,0.4
2022-05-31,CIN,L,-,0,1,0.333
2022-06-01,CIN,W,-,1,1,0.5
2022-06-03,OAK,W,-,1,0,0.667
2022-06-04,OAK,W,-,2,0,0.75
2022-06-05,OAK,W,-,3,0,0.8
2022-06-06,LAA,W,-,2,2,0.5
2022-06-07,LAA,W,-,3,2,0.571
2022-06-08,LAA,W,-,4,2,0.625
2022-06-09,LAA,L,-,4,3,0.556
2022-06-10,SEA,W,-,5,0,0.857
2022-06-11,SEA,L,-,5,1,0.75
2022-06-12,SEA,W,-,6,1,0.778
2022-06-14,OAK,W,-,4,0,0.833
2022-06-15,OAK,W,-,5,0,0.857
2022-06-16,OAK,L,-,5,1,0.75
2022-06-17,STL,W,-,1,0,0.667
2022-06-18,STL,L,-,1,1,0.5
2022-06-19,STL,W,-,2,1,0.6
2022-06-20,DET,W,-,3,1,0.667
2022-06-21,DET,W,-,4,1,0.714
2022-06-22,DET,W,-,5,1,0.75
2022-06-24,CLE,W,-,1,0,0.667
2022-06-25,CLE,W,-,2,0,0.75
2022-06-26,CLE,W,-,3,0,0.8
2022-06-27,TOR,L,-,2,6,0.3
2022-06-28,TOR,L,-,2,7,0.273
2022-06-29,TOR,W,-,3,7,0.333
2022-07-01,CHC,L,-,0,1,0.333
2022-07-02,CHC,L,-,0,2,0.25
2022-07-03,CHC,W,-,1,2,0.4
2022-07-04,TB,W,-,2,2,0.5
2022-07-05,TB,L,-,2,3,0.429
2022-07-06,TB,L,-,2,4,0.375
2022-07-07,NYY,L,-,1,3,0.333
2022-07-08,NYY,L,-,1,4,0.286
2022-07-09,NYY,W,-,2,4,0.375
2022-07-10,NYY,W,-,3,4,0.444
2022-07-11,TB,L,-,2,5,0.333
2022-07-12,TB,L,-,2,6,0.3
2022-07-13,TB,L,-,2,7,0.273
2022-07-14,TB,L,-,2,8,0.25
2022-07-15,NYY,W,-,4,4,0.5
2022-07-16,NYY,L,-,4,5,0.455
2022-07-17,NYY,L,-,4,6,0.417
2022-07-22,TOR,L,-,3,8,0.308
2022-07-23,TOR,L,-,3,9,0.286
2022-07-24,TOR,L,-,3,10,0.267
2022-07-25,CLE,,W,3,0,0.8
2022-07-26,CLE,,W,3,0,0.8
2022-07-27,CLE,,L,3,0,0.8
2022-07-28,CLE,,W,3,0,0.8
2022-07-29,MIL,,L,0,0,0.5
2022-07-30,MIL,,W,0,0,0.5
2022-07-31,MIL,,W,0,0,0.5
2022-08-01,HOU,,L,2,1,0.6
2022-08-02,HOU,,W,2,1,0.6
2022-08-03,HOU,,W,2,1,0.6
2022-08-04,KC,,W,0,0,0.5
2022-08-05,KC,,W,0,0,0.5
2022-08-06,KC,,L,0,0,0.5
2022-08-07,KC,,L,0,0,0.5
2022-08-09,ATL,,L,1,1,0.5
2022-08-10,ATL,,W,1,1,0.5
2022-08-11,BAL,,W,3,5,0.4
2022-08-12,NYY,,L,4,6,0.417
2022-08-13,NYY,,L,4,6,0.417
2022-08-14,NYY,,L,4,6,0.417
2022-08-16,PIT,,W,0,0,0.5
2022-08-17,PIT,,L,0,0,0.5
2022-08-18,PIT,,W,0,0,0.5
2022-08-19,BAL,,L,3,5,0.4
2022-08-20,BAL,,W,3,5,0.4
2022-08-21,BAL,,W,3,5,0.4
2022-08-23,TOR,,L,3,10,0.267
2022-08-24,TOR,,W,3,10,0.267
2022-08-25,TOR,,L,3,10,0.267
2022-08-26,TB,,L,2,8,0.25
2022-08-27,TB,,L,2,8,0.25
2022-08-28,TB,,L,2,8,0.25
2022-08-29,MIN,,L,2,2,0.5
2022-08-30,MIN,,W,2,2,0.5
2022-08-31,MIN,,W,2,2,0.5
2022-09-01,TEX,,W,2,1,0.6
2022-09-02,TEX,,W,2,1,0.6
2022-09-03,TEX,,L,2,1,0.6
2022-09-04,TEX,,L,2,1,0.6
2022-09-05,TB,,L,2,8,0.25
2022-09-06,TB,,L,2,8,0.25
2022-09-07,TB,,L,2,8,0.25
2022-09-09,BAL,,W,3,5,0.4
2022-09-10,BAL,,L,3,5,0.4
2022-09-11,BAL,,L,3,5,0.4
2022-09-13,NYY,,L,4,6,0.417
2022-09-14,NYY,,W,4,6,0.417
2022-09-16,KC,,L,0,0,0.5
2022-09-17,KC,,L,0,0,0.5
2022-09-18,KC,,W,0,0,0.5
2022-09-20,CIN,,L,1,1,0.5
2022-09-21,CIN,,W,1,1,0.5
2022-09-22,NYY,,L,4,6,0.417
2022-09-23,NYY,,W,4,6,0.417
2022-09-24,NYY,,L,4,6,0.417
2022-09-25,NYY,,L,4,6,0.417
2022-09-26,BAL,,L,3,5,0.4
2022-09-27,BAL,,L,3,5,0.4
2022-09-28,BAL,,L,3,5,0.4
2022-09-29,BAL,,W,3,5,0.4
2022-09-30,TOR,,L,3,10,0.267
2022-10-01,TOR,,W,3,10,0.267
2022-10-02,TOR,,L,3,10,0.267
2022-10-03,TB,,L,2,8,0.25
2022-10-04,TB,,L,2,8,0.25
2022-10-05,TB,,W,2,8,0.25
Wins,Losses,Win %
76,86,0.469
