Date,Opponent,Actual Result,Predicted Result,H2H Wins,H2H Losses,Win %
2022-04-08,DET,L,-,0,1,0.333
2022-04-09,DET,W,-,1,1,0.5
2022-04-10,DET,W,-,2,1,0.6
2022-04-12,SEA,W,-,1,0,0.667
2022-04-13,SEA,W,-,2,0,0.75
2022-04-14,SEA,L,-,2,1,0.6
2022-04-15,TB,W,-,1,0,0.667
2022-04-16,TB,W,-,2,0,0.75
2022-04-17,TB,L,-,2,1,0.6
2022-04-20,CLE,L,-,0,1,0.333
2022-04-20,CLE,L,-,0,2,0.25
2022-04-21,CLE,L,-,0,3,0.2
2022-04-22,MIN,L,-,0,1,0.333
2022-04-23,MIN,L,-,0,2,0.25
2022-04-24,MIN,L,-,0,3,0.2
2022-04-26,KC,L,-,0,1,0.333
2022-04-27,KC,W,-,1,1,0.5
2022-04-28,KC,L,-,1,2,0.4
2022-04-29,LAA,L,-,0,1,0.333
2022-04-30,LAA,W,-,1,1,0.5
2022-05-01,LAA,L,-,1,2,0.4
2022-05-02,LAA,W,-,2,2,0.5
2022-05-03,CHC,W,-,1,0,0.667
2022-05-04,CHC,W,-,2,0,0.75
2022-05-06,BOS,W,-,1,0,0.667
2022-05-07,BOS,W,-,2,0,0.75
2022-05-08,BOS,W,-,3,0,0.8
2022-05-09,CLE,L,-,0,4,0.167
2022-05-10,CLE,W,-,1,4,0.286
2022-05-12,NYY,L,-,0,1,0.333
2022-05-13,NYY,L,-,0,2,0.25
2022-05-14,NYY,W,-,1,2,0.4
2022-05-15,NYY,L,-,1,3,0.333
2022-05-16,KC,W,-,2,2,0.5
2022-05-17,KC,W,-,3,2,0.571
2022-05-17,KC,L,-,3,3,0.5
2022-05-18,KC,L,-,3,4,0.444
2022-05-19,KC,W,-,4,4,0.5
2022-05-21,NYY,L,-,1,4,0.286
2022-05-22,NYY,W,-,2,4,0.375
2022-05-22,NYY,W,-,3,4,0.444
2022-05-24,BOS,L,-,3,1,0.667
2022-05-25,BOS,W,-,4,1,0.714
2022-05-26,BOS,L,-,4,2,0.625
2022-05-28,CHC,L,-,2,1,0.6
2022-05-29,CHC,W,-,3,1,0.667
2022-05-31,TOR,L,-,0,1,0.333
2022-06-01,TOR,L,-,0,2,0.25
2022-06-02,TOR,L,-,0,3,0.2
2022-06-03,TB,L,-,2,2,0.5
2022-06-04,TB,W,-,3,2,0.571
2022-06-05,TB,W,-,4,2,0.625
2022-06-07,LAD,W,-,1,0,0.667
2022-06-08,LAD,L,-,1,1,0.5
2022-06-09,LAD,L,-,1,2,0.4
2022-06-10,TEX,W,-,1,0,0.667
