Date,Opponent,Actual Result,Predicted Result,H2H Wins,H2H Losses,Win %
2022-04-08,CHW,W,-,1,0,0.667
2022-04-09,CHW,L,-,1,1,0.5
2022-04-10,CHW,L,-,1,2,0.4
2022-04-11,BOS,W,-,1,0,0.667
2022-04-12,BOS,L,-,1,1,0.5
2022-04-13,BOS,L,-,1,2,0.4
2022-04-14,KC,W,-,1,0,0.667
2022-04-15,KC,W,-,2,0,0.75
2022-04-16,KC,L,-,2,1,0.6
2022-04-19,NYY,L,-,0,1,0.333
2022-04-20,NYY,L,-,0,2,0.25
2022-04-21,NYY,W,-,1,2,0.4
2022-04-23,COL,W,-,1,0,0.667
2022-04-23,COL,L,-,1,1,0.5
2022-04-24,COL,L,-,1,2,0.4
2022-04-26,MIN,L,-,0,1,0.333
2022-04-27,MIN,L,-,0,2,0.25
2022-04-28,MIN,L,-,0,3,0.2
2022-04-29,LAD,L,-,0,1,0.333
2022-04-30,LAD,W,-,1,1,0.5
2022-05-01,LAD,L,-,1,2,0.4
2022-05-04,PIT,W,-,1,0,0.667
2022-05-04,PIT,L,-,1,1,0.5
2022-05-05,HOU,L,-,0,1,0.333
2022-05-06,HOU,L,-,0,2,0.25
2022-05-07,HOU,L,-,0,3,0.2
2022-05-08,HOU,L,-,0,4,0.167
2022-05-09,OAK,L,-,0,1,0.333
2022-05-10,OAK,W,-,1,1,0.5
2022-05-10,OAK,L,-,1,2,0.4
2022-05-11,OAK,L,-,1,3,0.333
2022-05-12,OAK,L,-,1,4,0.286
2022-05-13,BAL,W,-,1,0,0.667
2022-05-14,BAL,W,-,2,0,0.75
2022-05-15,BAL,W,-,3,0,0.8
2022-05-16,TB,W,-,1,0,0.667
2022-05-17,TB,L,-,1,1,0.5
2022-05-18,TB,L,-,1,2,0.4
2022-05-20,CLE,L,-,0,1,0.333
2022-05-22,CLE,W,-,1,1,0.5
2022-05-23,MIN,L,-,0,4,0.167
2022-05-24,MIN,L,-,0,5,0.143
2022-05-25,MIN,W,-,1,5,0.25
2022-05-26,CLE,W,-,2,1,0.6
2022-05-28,CLE,L,-,2,2,0.5
2022-05-29,CLE,W,-,3,2,0.571
2022-05-30,MIN,W,-,2,5,0.333
2022-05-31,MIN,L,-,2,6,0.3
2022-05-31,MIN,W,-,3,6,0.364
2022-06-01,MIN,W,-,4,6,0.417
2022-06-02,MIN,W,-,5,6,0.462
2022-06-03,NYY,L,-,1,3,0.333
2022-06-04,NYY,L,-,1,4,0.286
2022-06-05,NYY,L,-,1,5,0.25
2022-06-07,PIT,W,-,2,1,0.6
2022-06-08,PIT,W,-,3,1,0.667
2022-06-10,TOR,L,-,0,1,0.333
2022-06-11,TOR,W,-,1,1,0.5
2022-06-12,TOR,L,-,1,2,0.4
2022-06-13,CHW,L,-,1,3,0.333
2022-06-14,CHW,L,-,1,4,0.286
2022-06-15,CHW,L,-,1,5,0.25
2022-06-16,TEX,L,-,0,1,0.333
2022-06-17,TEX,L,-,0,2,0.25
2022-06-18,TEX,W,-,1,2,0.4
2022-06-19,TEX,W,-,2,2,0.5
2022-06-20,BOS,L,-,1,3,0.333
2022-06-21,BOS,L,-,1,4,0.286
2022-06-22,BOS,L,-,1,5,0.25
2022-06-24,ARI,W,-,1,0,0.667
2022-06-25,ARI,W,-,2,0,0.75
2022-06-26,ARI,L,-,2,1,0.6
2022-06-28,SF,L,-,0,1,0.333
2022-06-29,SF,W,-,1,1,0.5
2022-07-01,KC,L,-,2,2,0.5
2022-07-02,KC,W,-,3,2,0.571
2022-07-03,KC,L,-,3,3,0.5
2022-07-04,CLE,W,-,4,2,0.625
2022-07-04,CLE,W,-,5,2,0.667
2022-07-05,CLE,W,-,6,2,0.7
2022-07-06,CLE,W,-,7,2,0.727
2022-07-07,CHW,W,-,2,5,0.333
2022-07-08,CHW,W,-,3,5,0.4
2022-07-09,CHW,L,-,3,6,0.364
2022-07-10,CHW,L,-,3,7,0.333
2022-07-11,KC,L,-,3,4,0.444
2022-07-11,KC,L,-,3,5,0.4
2022-07-12,KC,W,-,4,5,0.455
2022-07-13,KC,L,-,4,6,0.417
2022-07-14,CLE,L,-,7,3,0.667
2022-07-15,CLE,L,-,7,4,0.615
2022-07-16,CLE,L,-,7,5,0.571
2022-07-21,OAK,W,-,2,4,0.375
2022-07-21,OAK,L,-,2,5,0.333
2022-07-23,MIN,L,-,5,7,0.429
2022-07-24,MIN,L,-,5,8,0.4
2022-07-25,SD,,W,0,0,0.5
2022-07-26,SD,,W,0,0,0.5
2022-07-27,SD,,L,0,0,0.5
2022-07-28,TOR,,L,1,2,0.4
2022-07-29,TOR,,L,1,2,0.4
2022-07-30,TOR,,L,1,2,0.4
2022-07-31,TOR,,L,1,2,0.4
2022-08-01,MIN,,L,5,8,0.4
2022-08-02,MIN,,L,5,8,0.4
2022-08-03,MIN,,L,5,8,0.4
2022-08-04,TB,,L,1,2,0.4
2022-08-05,TB,,L,1,2,0.4
2022-08-06,TB,,L,1,2,0.4
2022-08-07,TB,,W,1,2,0.4
2022-08-09,CLE,,W,7,5,0.571
2022-08-10,CLE,,W,7,5,0.571
2022-08-11,CLE,,W,7,5,0.571
2022-08-12,CHW,,W,3,7,0.333
2022-08-13,CHW,,L,3,7,0.333
2022-08-14,CHW,,W,3,7,0.333
2022-08-15,CLE,,W,7,5,0.571
2022-08-15,CLE,,L,7,5,0.571
2022-08-16,CLE,,L,7,5,0.571
2022-08-17,CLE,,L,7,5,0.571
2022-08-19,LAA,,L,0,0,0.5
2022-08-20,LAA,,W,0,0,0.5
2022-08-21,LAA,,W,0,0,0.5
2022-08-23,SF,,W,1,1,0.5
2022-08-24,SF,,L,1,1,0.5
2022-08-26,TEX,,W,2,2,0.5
2022-08-27,TEX,,W,2,2,0.5
2022-08-28,TEX,,W,2,2,0.5
2022-08-30,SEA,,W,0,0,0.5
2022-08-31,SEA,,L,0,0,0.5
2022-09-01,SEA,,L,0,0,0.5
2022-09-02,KC,,W,4,6,0.417
2022-09-03,KC,,W,4,6,0.417
2022-09-04,KC,,L,4,6,0.417
2022-09-05,LAA,,L,0,0,0.5
2022-09-06,LAA,,W,0,0,0.5
2022-09-07,LAA,,L,0,0,0.5
2022-09-09,KC,,L,4,6,0.417
2022-09-10,KC,,L,4,6,0.417
2022-09-11,KC,,L,4,6,0.417
2022-09-12,HOU,,L,0,4,0.167
2022-09-13,HOU,,L,0,4,0.167
2022-09-14,HOU,,L,0,4,0.167
2022-09-16,CHW,,W,3,7,0.333
2022-09-17,CHW,,L,3,7,0.333
2022-09-18,CHW,,L,3,7,0.333
2022-09-19,BAL,,L,3,0,0.8
2022-09-20,BAL,,W,3,0,0.8
2022-09-21,BAL,,W,3,0,0.8
2022-09-23,CHW,,L,3,7,0.333
2022-09-24,CHW,,L,3,7,0.333
2022-09-25,CHW,,W,3,7,0.333
2022-09-27,KC,,L,4,6,0.417
2022-09-28,KC,,L,4,6,0.417
2022-09-29,KC,,W,4,6,0.417
2022-09-30,MIN,,L,5,8,0.4
2022-10-01,MIN,,L,5,8,0.4
2022-10-02,MIN,,L,5,8,0.4
2022-10-03,SEA,,L,0,0,0.5
2022-10-04,SEA,,L,0,0,0.5
2022-10-04,SEA,,W,0,0,0.5
2022-10-05,SEA,,W,0,0,0.5
Wins,Losses,Win %
64,98,0.395
