Date,Opponent,Actual Result,Predicted Result,H2H Wins,H2H Losses,Win %
2022-04-07,CLE,W,-,1,0,0.667
2022-04-09,CLE,W,-,2,0,0.75
2022-04-10,CLE,L,-,2,1,0.6
2022-04-11,CLE,L,-,2,2,0.5
2022-04-12,STL,L,-,0,1,0.333
2022-04-14,DET,L,-,0,1,0.333
2022-04-15,DET,L,-,0,2,0.25
2022-04-16,DET,W,-,1,2,0.4
2022-04-19,MIN,W,-,1,0,0.667
2022-04-20,MIN,W,-,2,0,0.75
2022-04-21,MIN,L,-,2,1,0.6
2022-04-22,SEA,L,-,0,1,0.333
2022-04-23,SEA,L,-,0,2,0.25
2022-04-24,SEA,L,-,0,3,0.2
2022-04-26,CHW,W,-,1,0,0.667
2022-04-27,CHW,L,-,1,1,0.5
2022-04-28,CHW,W,-,2,1,0.6
2022-04-29,NYY,L,-,0,1,0.333
2022-04-30,NYY,L,-,0,2,0.25
2022-05-01,NYY,L,-,0,3,0.2
2022-05-02,STL,L,-,0,2,0.25
2022-05-03,STL,W,-,1,2,0.4
2022-05-04,STL,L,-,1,3,0.333
2022-05-08,BAL,W,-,1,0,0.667
2022-05-08,BAL,L,-,1,1,0.5
2022-05-09,BAL,L,-,1,2,0.4
2022-05-10,TEX,L,-,0,1,0.333
2022-05-11,TEX,W,-,1,1,0.5
2022-05-12,TEX,L,-,1,2,0.4
2022-05-13,COL,W,-,1,0,0.667
2022-05-14,COL,L,-,1,1,0.5
2022-05-15,COL,W,-,2,1,0.6
2022-05-16,CHW,L,-,2,2,0.5
2022-05-17,CHW,L,-,2,3,0.429
2022-05-17,CHW,W,-,3,3,0.5
2022-05-18,CHW,W,-,4,3,0.556
2022-05-19,CHW,L,-,4,4,0.5
2022-05-20,MIN,L,-,2,2,0.5
2022-05-21,MIN,L,-,2,3,0.429
2022-05-22,MIN,L,-,2,4,0.375
2022-05-23,ARI,L,-,0,1,0.333
2022-05-24,ARI,L,-,0,2,0.25
2022-05-26,MIN,W,-,3,4,0.444
2022-05-27,MIN,L,-,3,5,0.4
2022-05-28,MIN,W,-,4,5,0.455
2022-05-29,MIN,L,-,4,6,0.417
2022-05-30,CLE,L,-,2,3,0.429
2022-05-31,CLE,L,-,2,4,0.375
2022-06-01,CLE,L,-,2,5,0.333
2022-06-03,HOU,L,-,0,1,0.333
2022-06-04,HOU,W,-,1,1,0.5
2022-06-05,HOU,L,-,1,2,0.4
2022-06-06,TOR,L,-,0,1,0.333
2022-06-07,TOR,L,-,0,2,0.25
2022-06-08,TOR,W,-,1,2,0.4
2022-06-09,BAL,W,-,2,2,0.5
2022-06-10,BAL,W,-,3,2,0.571
2022-06-11,BAL,L,-,3,3,0.5
2022-06-12,BAL,L,-,3,4,0.444
2022-06-13,SF,L,-,0,1,0.333
2022-06-14,SF,L,-,0,2,0.25
2022-06-15,SF,W,-,1,2,0.4
2022-06-17,OAK,W,-,1,0,0.667
2022-06-18,OAK,W,-,2,0,0.75
2022-06-19,OAK,L,-,2,1,0.6
2022-06-20,LAA,W,-,1,0,0.667
2022-06-21,LAA,W,-,2,0,0.75
2022-06-22,LAA,L,-,2,1,0.6
