Date,Opponent,Actual Result,Predicted Result,H2H Wins,H2H Losses,Win %
2022-04-07,CHC,L,-,0,1,0.333
2022-04-09,CHC,L,-,0,2,0.25
2022-04-10,CHC,W,-,1,2,0.4
2022-04-11,BAL,L,-,0,1,0.333
2022-04-12,BAL,W,-,1,1,0.5
2022-04-13,BAL,W,-,2,1,0.6
2022-04-14,STL,W,-,1,0,0.667
2022-04-15,STL,L,-,1,1,0.5
2022-04-16,STL,L,-,1,2,0.4
2022-04-17,STL,W,-,2,2,0.5
2022-04-18,PIT,W,-,1,0,0.667
2022-04-19,PIT,W,-,2,0,0.75
2022-04-20,PIT,W,-,3,0,0.8
2022-04-22,PHI,L,-,0,1,0.333
2022-04-23,PHI,W,-,1,1,0.5
2022-04-24,PHI,W,-,2,1,0.6
2022-04-25,SF,L,-,0,1,0.333
2022-04-26,PIT,W,-,4,0,0.833
2022-04-27,PIT,W,-,5,0,0.857
2022-04-28,PIT,W,-,6,0,0.875
2022-04-29,CHC,W,-,2,2,0.5
2022-04-30,CHC,W,-,3,2,0.571
2022-05-01,CHC,L,-,3,3,0.5
2022-05-03,CIN,W,-,1,0,0.667
2022-05-04,CIN,W,-,2,0,0.75
2022-05-05,CIN,W,-,3,0,0.8
2022-05-06,ATL,W,-,1,0,0.667
2022-05-07,ATL,L,-,1,1,0.5
2022-05-08,ATL,L,-,1,2,0.4
2022-05-09,CIN,L,-,3,1,0.667
2022-05-10,CIN,W,-,4,1,0.714
2022-05-11,CIN,L,-,4,2,0.625
2022-05-13,MIA,W,-,1,0,0.667
2022-05-14,MIA,L,-,1,1,0.5
2022-05-15,MIA,W,-,2,1,0.6
2022-05-16,ATL,W,-,2,2,0.5
2022-05-17,ATL,L,-,2,3,0.429
2022-05-18,ATL,W,-,3,3,0.5
2022-05-20,WSH,W,-,1,0,0.667
2022-05-21,WSH,W,-,2,0,0.75
2022-05-22,WSH,L,-,2,1,0.6
2022-05-23,SD,L,-,0,1,0.333
2022-05-24,SD,W,-,1,1,0.5
2022-05-25,SD,W,-,2,1,0.6
2022-05-26,STL,W,-,3,2,0.571
2022-05-27,STL,L,-,3,3,0.5
2022-05-28,STL,L,-,3,4,0.444
2022-05-29,STL,W,-,4,4,0.5
2022-05-30,CHC,W,-,4,3,0.556
2022-05-30,CHC,W,-,5,3,0.6
2022-05-31,CHC,L,-,5,4,0.545
2022-06-01,CHC,L,-,5,5,0.5
2022-06-02,SD,W,-,3,1,0.667
2022-06-03,SD,L,-,3,2,0.571
2022-06-04,SD,L,-,3,3,0.5
2022-06-05,SD,L,-,3,4,0.444
2022-06-07,PHI,L,-,2,2,0.5
2022-06-08,PHI,L,-,2,3,0.429
2022-06-09,PHI,L,-,2,4,0.375
2022-06-10,WSH,L,-,2,2,0.5
2022-06-11,WSH,L,-,2,3,0.429
2022-06-12,WSH,W,-,3,3,0.5
2022-06-14,NYM,L,-,0,1,0.333
2022-06-15,NYM,W,-,1,1,0.5
2022-06-16,NYM,L,-,1,2,0.4
2022-06-17,CIN,W,-,5,2,0.667
2022-06-18,CIN,W,-,6,2,0.7
2022-06-19,CIN,W,-,7,2,0.727
2022-06-20,STL,W,-,5,4,0.545
2022-06-21,STL,L,-,5,5,0.5
2022-06-22,STL,L,-,5,6,0.462
2022-06-23,STL,W,-,6,6,0.5
2022-06-24,TOR,L,-,0,1,0.333
2022-06-25,TOR,W,-,1,1,0.5
2022-06-26,TOR,W,-,2,1,0.6
2022-06-28,TB,W,-,1,0,0.667
2022-06-29,TB,W,-,2,0,0.75
2022-06-30,PIT,L,-,6,1,0.778
2022-07-01,PIT,W,-,7,1,0.8
2022-07-02,PIT,L,-,7,2,0.727
2022-07-03,PIT,W,-,8,2,0.75
2022-07-04,CHC,W,-,6,5,0.538
2022-07-05,CHC,L,-,6,6,0.5
2022-07-06,CHC,L,-,6,7,0.467
2022-07-08,PIT,W,-,9,2,0.769
2022-07-09,PIT,L,-,9,3,0.714
2022-07-10,PIT,L,-,9,4,0.667
2022-07-12,MIN,W,-,1,0,0.667
2022-07-13,MIN,L,-,1,1,0.5
2022-07-14,SF,W,-,1,1,0.5
2022-07-15,SF,L,-,1,2,0.4
2022-07-16,SF,L,-,1,3,0.333
2022-07-17,SF,L,-,1,4,0.286
2022-07-22,COL,W,-,1,0,0.667
2022-07-23,COL,W,-,2,0,0.75
2022-07-24,COL,W,-,3,0,0.8
2022-07-25,COL,,W,3,0,0.8
2022-07-26,MIN,,L,1,1,0.5
2022-07-27,MIN,,L,1,1,0.5
2022-07-29,BOS,,L,0,0,0.5
2022-07-30,BOS,,L,0,0,0.5
2022-07-31,BOS,,W,0,0,0.5
2022-08-02,PIT,,W,9,4,0.667
2022-08-03,PIT,,W,9,4,0.667
2022-08-04,PIT,,L,9,4,0.667
2022-08-05,CIN,,W,7,2,0.727
