Date,Opponent,Actual Result,Predicted Result,H2H Wins,H2H Losses,Win %
2022-04-07,WSH,W,-,1,0,0.667
2022-04-08,WSH,W,-,2,0,0.75
2022-04-09,WSH,W,-,3,0,0.8
2022-04-10,WSH,L,-,3,1,0.667
2022-04-11,PHI,L,-,0,1,0.333
2022-04-12,PHI,W,-,1,1,0.5
2022-04-13,PHI,W,-,2,1,0.6
2022-04-15,ARI,W,-,1,0,0.667
2022-04-16,ARI,L,-,1,1,0.5
2022-04-17,ARI,W,-,2,1,0.6
2022-04-19,SF,W,-,1,0,0.667
2022-04-19,SF,W,-,2,0,0.75
2022-04-20,SF,L,-,2,1,0.6
2022-04-21,SF,W,-,3,1,0.667
2022-04-22,ARI,W,-,3,1,0.667
2022-04-23,ARI,L,-,3,2,0.571
2022-04-24,ARI,W,-,4,2,0.625
2022-04-25,STL,W,-,1,0,0.667
2022-04-26,STL,W,-,2,0,0.75
2022-04-27,STL,L,-,2,1,0.6
2022-04-29,PHI,W,-,3,1,0.667
2022-04-30,PHI,L,-,3,2,0.571
2022-05-01,PHI,W,-,4,2,0.625
2022-05-02,ATL,L,-,0,1,0.333
2022-05-03,ATL,W,-,1,1,0.5
2022-05-03,ATL,W,-,2,1,0.6
2022-05-04,ATL,L,-,2,2,0.5
2022-05-05,PHI,W,-,5,2,0.667
2022-05-08,PHI,L,-,5,3,0.6
2022-05-08,PHI,W,-,6,3,0.636
2022-05-10,WSH,W,-,4,1,0.714
2022-05-11,WSH,L,-,4,2,0.625
2022-05-12,WSH,W,-,5,2,0.667
2022-05-13,SEA,L,-,0,1,0.333
2022-05-14,SEA,W,-,1,1,0.5
2022-05-15,SEA,L,-,1,2,0.4
2022-05-17,STL,W,-,3,1,0.667
2022-05-17,STL,L,-,3,2,0.571
2022-05-18,STL,W,-,4,2,0.625
2022-05-19,STL,W,-,5,2,0.667
2022-05-21,COL,W,-,1,0,0.667
2022-05-21,COL,L,-,1,1,0.5
2022-05-22,COL,W,-,2,1,0.6
2022-05-23,SF,W,-,4,1,0.714
2022-05-24,SF,L,-,4,2,0.625
2022-05-25,SF,L,-,4,3,0.556
2022-05-27,PHI,W,-,7,3,0.667
2022-05-28,PHI,W,-,8,3,0.692
2022-05-29,PHI,W,-,9,3,0.714
2022-05-30,WSH,W,-,6,2,0.7
2022-05-31,WSH,W,-,7,2,0.727
2022-06-01,WSH,W,-,8,2,0.75
2022-06-02,LAD,L,-,0,1,0.333
2022-06-03,LAD,L,-,0,2,0.25
2022-06-04,LAD,W,-,1,2,0.4
2022-06-05,LAD,W,-,2,2,0.5
2022-06-06,SD,W,-,1,0,0.667
2022-06-07,SD,L,-,1,1,0.5
2022-06-08,SD,L,-,1,2,0.4
2022-06-10,LAA,W,-,1,0,0.667
2022-06-11,LAA,L,-,1,1,0.5
2022-06-12,LAA,W,-,2,1,0.6
2022-06-14,MIL,W,-,1,0,0.667
2022-06-15,MIL,L,-,1,1,0.5
2022-06-16,MIL,W,-,2,1,0.6
2022-06-17,MIA,W,-,1,0,0.667
2022-06-18,MIA,W,-,2,0,0.75
2022-06-19,MIA,L,-,2,1,0.6
2022-06-20,MIA,W,-,3,1,0.667
2022-06-21,HOU,L,-,0,1,0.333
2022-06-22,HOU,L,-,0,2,0.25
2022-06-24,MIA,W,-,4,1,0.714
2022-06-25,MIA,W,-,5,1,0.75
2022-06-26,MIA,L,-,5,2,0.667
2022-06-28,HOU,L,-,0,3,0.2
2022-06-29,HOU,L,-,0,4,0.167
2022-07-01,TEX,W,-,1,0,0.667
2022-07-02,TEX,L,-,1,1,0.5
2022-07-03,TEX,W,-,2,1,0.6
2022-07-04,CIN,W,-,1,0,0.667
2022-07-05,CIN,L,-,1,1,0.5
2022-07-06,CIN,W,-,2,1,0.6
2022-07-07,MIA,W,-,6,2,0.7
2022-07-08,MIA,L,-,6,3,0.636
2022-07-09,MIA,W,-,7,3,0.667
2022-07-10,MIA,L,-,7,4,0.615
2022-07-11,ATL,W,-,3,2,0.571
2022-07-12,ATL,L,-,3,3,0.5
2022-07-13,ATL,W,-,4,3,0.556
2022-07-14,CHC,W,-,1,0,0.667
2022-07-16,CHC,W,-,2,0,0.75
2022-07-16,CHC,W,-,3,0,0.8
2022-07-17,CHC,L,-,3,1,0.667
2022-07-22,SD,L,-,1,3,0.333
2022-07-23,SD,L,-,1,4,0.286
2022-07-24,SD,W,-,2,4,0.375
2022-07-26,NYY,,L,0,0,0.5
2022-07-27,NYY,,L,0,0,0.5
2022-07-29,MIA,,L,7,4,0.615
2022-07-30,MIA,,W,7,4,0.615
2022-07-31,MIA,,L,7,4,0.615
2022-08-01,WSH,,L,8,2,0.75
2022-08-02,WSH,,L,8,2,0.75
2022-08-03,WSH,,W,8,2,0.75
2022-08-04,ATL,,W,4,3,0.556
2022-08-05,ATL,,W,4,3,0.556
2022-08-06,ATL,,W,4,3,0.556
2022-08-06,ATL,,W,4,3,0.556
2022-08-07,ATL,,W,4,3,0.556
2022-08-08,CIN,,W,2,1,0.6
2022-08-09,CIN,,L,2,1,0.6
2022-08-10,CIN,,W,2,1,0.6
2022-08-12,PHI,,L,9,3,0.714
2022-08-13,PHI,,W,9,3,0.714
2022-08-14,PHI,,L,9,3,0.714
2022-08-15,ATL,,L,4,3,0.556
2022-08-16,ATL,,L,4,3,0.556
2022-08-17,ATL,,L,4,3,0.556
2022-08-18,ATL,,L,4,3,0.556
2022-08-19,PHI,,W,9,3,0.714
2022-08-20,PHI,,L,9,3,0.714
2022-08-20,PHI,,W,9,3,0.714
2022-08-21,PHI,,W,9,3,0.714
2022-08-22,NYY,,W,0,0,0.5
2022-08-23,NYY,,L,0,0,0.5
2022-08-25,COL,,W,2,1,0.6
2022-08-26,COL,,L,2,1,0.6
2022-08-27,COL,,L,2,1,0.6
2022-08-28,COL,,W,2,1,0.6
2022-08-30,LAD,,W,2,2,0.5
2022-08-31,LAD,,L,2,2,0.5
2022-09-01,LAD,,W,2,2,0.5
2022-09-02,WSH,,W,8,2,0.75
2022-09-03,WSH,,W,8,2,0.75
2022-09-04,WSH,,L,8,2,0.75
2022-09-05,PIT,,L,0,0,0.5
2022-09-06,PIT,,W,0,0,0.5
2022-09-07,PIT,,L,0,0,0.5
2022-09-09,MIA,,L,7,4,0.615
2022-09-10,MIA,,W,7,4,0.615
2022-09-11,MIA,,W,7,4,0.615
2022-09-12,CHC,,W,3,1,0.667
2022-09-13,CHC,,W,3,1,0.667
2022-09-14,CHC,,W,3,1,0.667
2022-09-15,PIT,,L,0,0,0.5
2022-09-16,PIT,,L,0,0,0.5
2022-09-17,PIT,,W,0,0,0.5
2022-09-18,PIT,,L,0,0,0.5
2022-09-19,MIL,,W,2,1,0.6
2022-09-20,MIL,,L,2,1,0.6
2022-09-21,MIL,,L,2,1,0.6
2022-09-23,OAK,,L,0,0,0.5
2022-09-24,OAK,,L,0,0,0.5
2022-09-25,OAK,,L,0,0,0.5
2022-09-27,MIA,,W,7,4,0.615
2022-09-28,MIA,,L,7,4,0.615
2022-09-30,ATL,,W,4,3,0.556
2022-10-01,ATL,,W,4,3,0.556
2022-10-02,ATL,,W,4,3,0.556
2022-10-03,WSH,,L,8,2,0.75
2022-10-04,WSH,,L,8,2,0.75
2022-10-05,WSH,,W,8,2,0.75
Wins,Losses,Win %
92,70,0.568
