Date,Opponent,Actual Result,Predicted Result,H2H Wins,H2H Losses,Win %
2022-04-08,BOS,W,-,1,0,0.667
2022-04-09,BOS,W,-,2,0,0.75
2022-04-10,BOS,L,-,2,1,0.6
2022-04-11,TOR,L,-,0,1,0.333
2022-04-12,TOR,W,-,1,1,0.5
2022-04-13,TOR,L,-,1,2,0.4
2022-04-14,TOR,W,-,2,2,0.5
2022-04-15,BAL,L,-,0,1,0.333
2022-04-16,BAL,W,-,1,1,0.5
2022-04-17,BAL,L,-,1,2,0.4
2022-04-19,DET,W,-,1,0,0.667
2022-04-20,DET,W,-,2,0,0.75
2022-04-21,DET,L,-,2,1,0.6
2022-04-22,CLE,W,-,1,0,0.667
2022-04-23,CLE,W,-,2,0,0.75
2022-04-24,CLE,W,-,3,0,0.8
2022-04-26,BAL,W,-,2,2,0.5
2022-04-27,BAL,W,-,3,2,0.571
2022-04-28,BAL,W,-,4,2,0.625
2022-04-29,KC,W,-,1,0,0.667
2022-04-30,KC,W,-,2,0,0.75
2022-05-01,KC,W,-,3,0,0.8
2022-05-02,TOR,W,-,3,2,0.571
2022-05-03,TOR,W,-,4,2,0.625
2022-05-04,TOR,L,-,4,3,0.556
2022-05-08,TEX,W,-,1,0,0.667
2022-05-08,TEX,L,-,1,1,0.5
2022-05-09,TEX,W,-,2,1,0.6
2022-05-10,TOR,W,-,5,3,0.6
2022-05-11,TOR,W,-,6,3,0.636
2022-05-12,CHW,W,-,1,0,0.667
2022-05-13,CHW,W,-,2,0,0.75
2022-05-14,CHW,L,-,2,1,0.6
2022-05-15,CHW,W,-,3,1,0.667
2022-05-16,BAL,W,-,5,2,0.667
2022-05-17,BAL,W,-,6,2,0.7
2022-05-18,BAL,W,-,7,2,0.727
2022-05-19,BAL,L,-,7,3,0.667
2022-05-21,CHW,W,-,4,1,0.714
2022-05-22,CHW,L,-,4,2,0.625
2022-05-22,CHW,L,-,4,3,0.556
2022-05-23,BAL,L,-,7,4,0.615
2022-05-24,BAL,W,-,8,4,0.643
2022-05-25,BAL,W,-,9,4,0.667
2022-05-26,TB,W,-,1,0,0.667
2022-05-27,TB,W,-,2,0,0.75
2022-05-28,TB,L,-,2,1,0.6
2022-05-29,TB,L,-,2,2,0.5
2022-05-31,LAA,W,-,1,0,0.667
2022-06-02,LAA,W,-,2,0,0.75
2022-06-02,LAA,W,-,3,0,0.8
2022-06-03,DET,W,-,3,1,0.667
2022-06-04,DET,W,-,4,1,0.714
2022-06-05,DET,W,-,5,1,0.75
2022-06-07,MIN,W,-,1,0,0.667
2022-06-08,MIN,L,-,1,1,0.5
2022-06-09,MIN,W,-,2,1,0.6
2022-06-10,CHC,W,-,1,0,0.667
2022-06-11,CHC,W,-,2,0,0.75
2022-06-12,CHC,W,-,3,0,0.8
2022-06-14,TB,W,-,3,2,0.571
2022-06-15,TB,W,-,4,2,0.625
2022-06-16,TB,W,-,5,2,0.667
2022-06-17,TOR,W,-,7,3,0.667
2022-06-18,TOR,W,-,8,3,0.692
2022-06-19,TOR,L,-,8,4,0.643
2022-06-20,TB,W,-,6,2,0.7
2022-06-21,TB,L,-,6,3,0.636
2022-06-22,TB,W,-,7,3,0.667
2022-06-23,HOU,W,-,1,0,0.667
2022-06-24,HOU,L,-,1,1,0.5
2022-06-25,HOU,L,-,1,2,0.4
2022-06-26,HOU,W,-,2,2,0.5
2022-06-27,OAK,W,-,1,0,0.667
2022-06-28,OAK,W,-,2,0,0.75
2022-06-29,OAK,W,-,3,0,0.8
2022-06-30,HOU,L,-,2,3,0.429
2022-07-02,CLE,W,-,4,0,0.833
2022-07-02,CLE,W,-,5,0,0.857
2022-07-03,CLE,L,-,5,1,0.75
2022-07-05,PIT,L,-,0,1,0.333
2022-07-06,PIT,W,-,1,1,0.5
2022-07-07,BOS,W,-,3,1,0.667
2022-07-08,BOS,W,-,4,1,0.714
2022-07-09,BOS,L,-,4,2,0.625
2022-07-10,BOS,L,-,4,3,0.556
2022-07-12,CIN,L,-,0,1,0.333
2022-07-13,CIN,W,-,1,1,0.5
2022-07-14,CIN,L,-,1,2,0.4
2022-07-15,BOS,L,-,4,4,0.5
2022-07-16,BOS,W,-,5,4,0.545
2022-07-17,BOS,W,-,6,4,0.583
2022-07-21,HOU,L,-,2,4,0.375
2022-07-21,HOU,L,-,2,5,0.333
2022-07-22,BAL,W,-,10,4,0.688
2022-07-23,BAL,L,-,10,5,0.647
2022-07-24,BAL,W,-,11,5,0.667
2022-07-26,NYM,,L,0,0,0.5
2022-07-27,NYM,,W,0,0,0.5
2022-07-28,KC,,L,3,0,0.8
2022-07-29,KC,,W,3,0,0.8
2022-07-30,KC,,W,3,0,0.8
2022-07-31,KC,,W,3,0,0.8
2022-08-01,SEA,,W,0,0,0.5
2022-08-02,SEA,,W,0,0,0.5
2022-08-03,SEA,,W,0,0,0.5
2022-08-05,STL,,W,0,0,0.5
2022-08-06,STL,,L,0,0,0.5
2022-08-07,STL,,W,0,0,0.5
2022-08-08,SEA,,L,0,0,0.5
2022-08-09,SEA,,W,0,0,0.5
2022-08-10,SEA,,L,0,0,0.5
2022-08-12,BOS,,W,6,4,0.583
