Date,Opponent,Actual Result,Predicted Result,H2H Wins,H2H Losses,Win %
2022-04-07,ARI,L,-,0,1,0.333
2022-04-08,ARI,W,-,1,1,0.5
2022-04-09,ARI,W,-,2,1,0.6
2022-04-10,ARI,W,-,3,1,0.667
2022-04-11,SF,W,-,1,0,0.667
2022-04-12,SF,L,-,1,1,0.5
2022-04-13,SF,L,-,1,2,0.4
2022-04-14,ATL,W,-,1,0,0.667
2022-04-15,ATL,L,-,1,1,0.5
2022-04-16,ATL,L,-,1,2,0.4
2022-04-17,ATL,W,-,2,2,0.5
2022-04-18,CIN,W,-,1,0,0.667
2022-04-19,CIN,W,-,2,0,0.75
2022-04-20,CIN,W,-,3,0,0.8
2022-04-22,LAD,L,-,0,1,0.333
2022-04-23,LAD,W,-,1,1,0.5
2022-04-24,LAD,L,-,1,2,0.4
2022-04-26,CIN,W,-,4,0,0.833
2022-04-27,CIN,W,-,5,0,0.857
2022-04-28,CIN,W,-,6,0,0.875
2022-04-29,PIT,W,-,1,0,0.667
2022-04-30,PIT,L,-,1,1,0.5
2022-05-01,PIT,W,-,2,1,0.6
2022-05-04,CLE,W,-,1,0,0.667
2022-05-04,CLE,L,-,1,1,0.5
2022-05-05,MIA,W,-,1,0,0.667
2022-05-06,MIA,W,-,2,0,0.75
2022-05-07,MIA,L,-,2,1,0.6
2022-05-08,MIA,W,-,3,1,0.667
2022-05-09,CHC,L,-,0,1,0.333
2022-05-10,CHC,W,-,1,1,0.5
2022-05-11,CHC,L,-,1,2,0.4
2022-05-13,ATL,W,-,3,2,0.571
2022-05-14,ATL,L,-,3,3,0.5
2022-05-15,ATL,W,-,4,3,0.556
2022-05-17,PHI,W,-,1,0,0.667
2022-05-18,PHI,L,-,1,1,0.5
2022-05-19,PHI,W,-,2,1,0.6
2022-05-20,SF,W,-,2,2,0.5
2022-05-21,SF,W,-,3,2,0.571
2022-05-22,SF,W,-,4,2,0.625
2022-05-23,MIL,W,-,1,0,0.667
2022-05-24,MIL,L,-,1,1,0.5
2022-05-25,MIL,L,-,1,2,0.4
2022-05-27,PIT,W,-,3,1,0.667
2022-05-28,PIT,L,-,3,2,0.571
2022-05-29,PIT,W,-,4,2,0.625
2022-05-30,STL,L,-,0,1,0.333
2022-05-31,STL,L,-,0,2,0.25
2022-06-01,STL,L,-,0,3,0.2
2022-06-02,MIL,L,-,1,3,0.333
2022-06-03,MIL,W,-,2,3,0.429
2022-06-04,MIL,W,-,3,3,0.5
2022-06-05,MIL,W,-,4,3,0.556
2022-06-06,NYM,L,-,0,1,0.333
2022-06-07,NYM,W,-,1,1,0.5
2022-06-08,NYM,W,-,2,1,0.6
2022-06-10,COL,W,-,1,0,0.667
2022-06-11,COL,W,-,2,0,0.75
2022-06-11,COL,L,-,2,1,0.6
2022-06-12,COL,L,-,2,2,0.5
2022-06-13,CHC,W,-,2,2,0.5
