Date,Opponent,Actual Result,Predicted Result,H2H Wins,H2H Losses,Win %
2022-04-08,MIN,W,-,1,0,0.667
2022-04-09,MIN,W,-,2,0,0.75
2022-04-10,MIN,L,-,2,1,0.6
2022-04-11,MIN,L,-,2,2,0.5
2022-04-12,CHW,L,-,0,1,0.333
2022-04-13,CHW,L,-,0,2,0.25
2022-04-14,CHW,W,-,1,2,0.4
2022-04-15,HOU,W,-,1,0,0.667
2022-04-16,HOU,L,-,1,1,0.5
2022-04-17,HOU,W,-,2,1,0.6
2022-04-19,TEX,W,-,1,0,0.667
2022-04-20,TEX,W,-,2,0,0.75
2022-04-21,TEX,L,-,2,1,0.6
2022-04-22,KC,W,-,1,0,0.667
2022-04-23,KC,W,-,2,0,0.75
2022-04-24,KC,W,-,3,0,0.8
2022-04-26,TB,W,-,1,0,0.667
2022-04-27,TB,L,-,1,1,0.5
2022-04-28,TB,L,-,1,2,0.4
2022-04-29,MIA,L,-,0,1,0.333
2022-04-30,MIA,L,-,0,2,0.25
2022-05-01,MIA,W,-,1,2,0.4
2022-05-02,HOU,L,-,2,2,0.5
2022-05-03,HOU,L,-,2,3,0.429
2022-05-04,HOU,L,-,2,4,0.375
2022-05-05,TB,L,-,1,3,0.333
2022-05-06,TB,L,-,1,4,0.286
2022-05-07,TB,L,-,1,5,0.25
2022-05-08,TB,W,-,2,5,0.333
2022-05-09,PHI,L,-,0,1,0.333
2022-05-10,PHI,W,-,1,1,0.5
2022-05-11,PHI,L,-,1,2,0.4
2022-05-13,NYM,W,-,1,0,0.667
2022-05-14,NYM,L,-,1,1,0.5
2022-05-15,NYM,W,-,2,1,0.6
2022-05-16,TOR,L,-,0,1,0.333
2022-05-17,TOR,L,-,0,2,0.25
2022-05-18,TOR,W,-,1,2,0.4
2022-05-19,BOS,L,-,0,1,0.333
2022-05-20,BOS,L,-,0,2,0.25
2022-05-21,BOS,L,-,0,3,0.2
2022-05-22,BOS,L,-,0,4,0.167
2022-05-23,OAK,W,-,1,0,0.667
2022-05-24,OAK,L,-,1,1,0.5
2022-05-25,OAK,L,-,1,2,0.4
2022-05-27,HOU,W,-,3,4,0.444
2022-05-28,HOU,W,-,4,4,0.5
2022-05-29,HOU,L,-,4,5,0.455
2022-05-31,BAL,W,-,1,0,0.667
2022-06-01,BAL,L,-,1,1,0.5
2022-06-02,BAL,W,-,2,1,0.6
2022-06-03,TEX,W,-,3,1,0.667
2022-06-04,TEX,L,-,3,2,0.571
2022-06-05,TEX,W,-,4,2,0.625
2022-06-06,HOU,W,-,5,5,0.5
2022-06-07,HOU,L,-,5,6,0.462
2022-06-08,HOU,W,-,6,6,0.5
2022-06-10,BOS,L,-,0,5,0.143
2022-06-11,BOS,W,-,1,5,0.25
2022-06-12,BOS,L,-,1,6,0.222
2022-06-13,MIN,L,-,2,3,0.429
