Date,Opponent,Actual Result,Predicted Result,H2H Wins,H2H Losses,Win %
2022-04-08,TOR,L,-,0,1,0.333
2022-04-09,TOR,L,-,0,2,0.25
2022-04-10,TOR,W,-,1,2,0.4
2022-04-11,COL,L,-,0,1,0.333
2022-04-12,COL,L,-,0,2,0.25
2022-04-14,LAA,W,-,1,0,0.667
2022-04-15,LAA,L,-,1,1,0.5
2022-04-16,LAA,L,-,1,2,0.4
2022-04-17,LAA,L,-,1,3,0.333
2022-04-19,SEA,L,-,0,1,0.333
2022-04-20,SEA,L,-,0,2,0.25
2022-04-21,SEA,W,-,1,2,0.4
2022-04-22,OAK,W,-,1,0,0.667
2022-04-23,OAK,W,-,2,0,0.75
2022-04-24,OAK,L,-,2,1,0.6
2022-04-25,HOU,W,-,1,0,0.667
2022-04-26,HOU,L,-,1,1,0.5
2022-04-27,HOU,L,-,1,2,0.4
2022-04-28,HOU,L,-,1,3,0.333
2022-04-29,ATL,L,-,0,1,0.333
2022-04-30,ATL,W,-,1,1,0.5
2022-05-01,ATL,W,-,2,1,0.6
2022-05-03,PHI,W,-,1,0,0.667
2022-05-04,PHI,W,-,2,0,0.75
2022-05-08,NYY,L,-,0,1,0.333
2022-05-08,NYY,W,-,1,1,0.5
2022-05-09,NYY,L,-,1,2,0.4
2022-05-10,KC,W,-,1,0,0.667
2022-05-11,KC,L,-,1,1,0.5
2022-05-12,KC,W,-,2,1,0.6
2022-05-13,BOS,L,-,0,1,0.333
2022-05-14,BOS,L,-,0,2,0.25
2022-05-15,BOS,W,-,1,2,0.4
2022-05-16,LAA,W,-,2,3,0.429
2022-05-17,LAA,W,-,3,3,0.5
2022-05-18,LAA,W,-,4,3,0.556
2022-05-19,HOU,L,-,1,4,0.286
2022-05-20,HOU,W,-,2,4,0.375
2022-05-21,HOU,L,-,2,5,0.333
2022-05-22,HOU,L,-,2,6,0.3
2022-05-24,LAA,L,-,4,4,0.5
2022-05-25,LAA,W,-,5,4,0.545
2022-05-26,OAK,W,-,3,1,0.667
2022-05-27,OAK,W,-,4,1,0.714
2022-05-28,OAK,W,-,5,1,0.75
2022-05-29,OAK,L,-,5,2,0.667
2022-05-30,TB,W,-,1,0,0.667
2022-05-31,TB,W,-,2,0,0.75
2022-06-01,TB,L,-,2,1,0.6
2022-06-02,TB,L,-,2,2,0.5
