Date,Opponent,Actual Result,Predicted Result,H2H Wins,H2H Losses,Win %
2022-04-08,TEX,W,-,1,0,0.667
2022-04-09,TEX,W,-,2,0,0.75
2022-04-10,TEX,L,-,2,1,0.6
2022-04-11,NYY,W,-,1,0,0.667
2022-04-12,NYY,L,-,1,1,0.5
2022-04-13,NYY,W,-,2,1,0.6
2022-04-14,NYY,L,-,2,2,0.5
2022-04-15,OAK,W,-,1,0,0.667
2022-04-16,OAK,L,-,1,1,0.5
2022-04-17,OAK,W,-,2,1,0.6
2022-04-19,BOS,L,-,0,1,0.333
2022-04-20,BOS,W,-,1,1,0.5
2022-04-21,BOS,W,-,2,1,0.6
2022-04-22,HOU,W,-,1,0,0.667
2022-04-23,HOU,W,-,2,0,0.75
2022-04-24,HOU,L,-,2,1,0.6
2022-04-25,BOS,W,-,3,1,0.667
2022-04-26,BOS,W,-,4,1,0.714
2022-04-27,BOS,L,-,4,2,0.625
2022-04-28,BOS,W,-,5,2,0.667
2022-04-29,HOU,L,-,2,2,0.5
2022-04-30,HOU,W,-,3,2,0.571
2022-05-01,HOU,W,-,4,2,0.625
2022-05-02,NYY,L,-,2,3,0.429
2022-05-03,NYY,L,-,2,4,0.375
2022-05-04,NYY,W,-,3,4,0.444
2022-05-05,CLE,L,-,0,1,0.333
2022-05-07,CLE,W,-,1,1,0.5
2022-05-07,CLE,L,-,1,2,0.4
2022-05-08,CLE,L,-,1,3,0.333
2022-05-10,NYY,L,-,3,5,0.4
2022-05-11,NYY,L,-,3,6,0.364
2022-05-13,TB,L,-,0,1,0.333
2022-05-14,TB,W,-,1,1,0.5
2022-05-15,TB,L,-,1,2,0.4
2022-05-16,SEA,W,-,1,0,0.667
2022-05-17,SEA,W,-,2,0,0.75
2022-05-18,SEA,L,-,2,1,0.6
2022-05-20,CIN,W,-,1,0,0.667
2022-05-21,CIN,W,-,2,0,0.75
2022-05-22,CIN,L,-,2,1,0.6
2022-05-23,STL,L,-,0,1,0.333
2022-05-24,STL,W,-,1,1,0.5
2022-05-26,LAA,W,-,1,0,0.667
2022-05-27,LAA,W,-,2,0,0.75
2022-05-28,LAA,W,-,3,0,0.8
2022-05-29,LAA,W,-,4,0,0.833
2022-05-31,CHW,W,-,1,0,0.667
2022-06-01,CHW,W,-,2,0,0.75
2022-06-02,CHW,W,-,3,0,0.8
2022-06-03,MIN,L,-,0,1,0.333
2022-06-04,MIN,W,-,1,1,0.5
2022-06-05,MIN,L,-,1,2,0.4
2022-06-06,KC,W,-,1,0,0.667
2022-06-07,KC,W,-,2,0,0.75
2022-06-08,KC,L,-,2,1,0.6
2022-06-10,DET,W,-,1,0,0.667
2022-06-11,DET,L,-,1,1,0.5
2022-06-12,DET,W,-,2,1,0.6
2022-06-13,BAL,W,-,1,0,0.667
2022-06-14,BAL,L,-,1,1,0.5
2022-06-15,BAL,W,-,2,1,0.6
2022-06-16,BAL,L,-,2,2,0.5
2022-06-17,NYY,L,-,3,7,0.333
2022-06-18,NYY,L,-,3,8,0.308
2022-06-19,NYY,W,-,4,8,0.357
2022-06-20,CHW,L,-,3,1,0.667
2022-06-21,CHW,L,-,3,2,0.571
2022-06-22,CHW,W,-,4,2,0.625
2022-06-24,MIL,W,-,1,0,0.667
2022-06-25,MIL,L,-,1,1,0.5
2022-06-26,MIL,L,-,1,2,0.4
