Date,Opponent,Actual Result,Predicted Result,H2H Wins,H2H Losses,Win %
2022-04-07,NYM,L,-,0,1,0.333
2022-04-08,NYM,L,-,0,2,0.25
2022-04-09,NYM,L,-,0,3,0.2
2022-04-10,NYM,W,-,1,3,0.333
2022-04-11,ATL,W,-,1,0,0.667
2022-04-12,ATL,L,-,1,1,0.5
2022-04-13,ATL,W,-,2,1,0.6
2022-04-14,PIT,L,-,0,1,0.333
2022-04-15,PIT,W,-,1,1,0.5
2022-04-16,PIT,L,-,1,2,0.4
2022-04-17,PIT,L,-,1,3,0.333
2022-04-19,ARI,W,-,1,0,0.667
2022-04-19,ARI,W,-,2,0,0.75
2022-04-20,ARI,L,-,2,1,0.6
2022-04-21,ARI,L,-,2,2,0.5
2022-04-22,SF,L,-,0,1,0.333
2022-04-23,SF,L,-,0,2,0.25
2022-04-24,SF,L,-,0,3,0.2
2022-04-26,MIA,L,-,0,1,0.333
2022-04-27,MIA,L,-,0,2,0.25
2022-04-28,MIA,L,-,0,3,0.2
2022-04-29,SF,W,-,1,3,0.333
2022-04-30,SF,L,-,1,4,0.286
2022-05-01,SF,W,-,2,4,0.375
2022-05-03,COL,W,-,1,0,0.667
2022-05-04,COL,L,-,1,1,0.5
2022-05-05,COL,L,-,1,2,0.4
2022-05-06,LAA,L,-,0,1,0.333
2022-05-07,LAA,W,-,1,1,0.5
2022-05-08,LAA,L,-,1,2,0.4
2022-05-10,NYM,L,-,1,4,0.286
2022-05-11,NYM,W,-,2,4,0.375
2022-05-12,NYM,L,-,2,5,0.333
2022-05-13,HOU,L,-,0,1,0.333
2022-05-14,HOU,W,-,1,1,0.5
2022-05-15,HOU,L,-,1,2,0.4
2022-05-16,MIA,L,-,0,4,0.167
2022-05-17,MIA,L,-,0,5,0.143
2022-05-18,MIA,W,-,1,5,0.25
2022-05-20,MIL,L,-,0,1,0.333
2022-05-21,MIL,L,-,0,2,0.25
2022-05-22,MIL,W,-,1,2,0.4
2022-05-23,LAD,L,-,0,1,0.333
2022-05-24,LAD,L,-,0,2,0.25
2022-05-25,LAD,W,-,1,2,0.4
2022-05-26,COL,W,-,2,2,0.5
2022-05-28,COL,W,-,3,2,0.571
2022-05-28,COL,L,-,3,3,0.5
2022-05-29,COL,W,-,4,3,0.556
2022-05-30,NYM,L,-,2,6,0.3
2022-05-31,NYM,L,-,2,7,0.273
2022-06-01,NYM,L,-,2,8,0.25
2022-06-02,CIN,L,-,0,1,0.333
2022-06-03,CIN,W,-,1,1,0.5
2022-06-04,CIN,W,-,2,1,0.6
2022-06-05,CIN,W,-,3,1,0.667
2022-06-07,MIA,L,-,1,6,0.222
2022-06-08,MIA,L,-,1,7,0.2
2022-06-09,MIA,L,-,1,8,0.182
2022-06-10,MIL,W,-,2,2,0.5
2022-06-11,MIL,W,-,3,2,0.571
2022-06-12,MIL,L,-,3,3,0.5
2022-06-13,ATL,L,-,2,2,0.5
2022-06-14,ATL,L,-,2,3,0.429
2022-06-15,ATL,L,-,2,4,0.375
2022-06-16,PHI,L,-,0,1,0.333
2022-06-17,PHI,L,-,0,2,0.25
2022-06-17,PHI,L,-,0,3,0.2
2022-06-18,PHI,L,-,0,4,0.167
2022-06-19,PHI,W,-,1,4,0.286
2022-06-21,BAL,W,-,1,0,0.667
2022-06-22,BAL,L,-,1,1,0.5
2022-06-24,TEX,W,-,1,0,0.667
2022-06-25,TEX,L,-,1,1,0.5
2022-06-26,TEX,W,-,2,1,0.6
2022-06-27,PIT,W,-,2,3,0.429
2022-06-28,PIT,W,-,3,3,0.5
2022-06-29,PIT,L,-,3,4,0.444
2022-07-01,MIA,L,-,1,9,0.167
2022-07-02,MIA,L,-,1,10,0.154
2022-07-03,MIA,L,-,1,11,0.143
2022-07-04,MIA,L,-,1,12,0.133
2022-07-05,PHI,L,-,1,5,0.25
2022-07-06,PHI,W,-,2,5,0.333
2022-07-07,PHI,L,-,2,6,0.3
2022-07-08,ATL,L,-,2,5,0.333
2022-07-09,ATL,L,-,2,6,0.3
2022-07-10,ATL,L,-,2,7,0.273
2022-07-13,SEA,L,-,0,1,0.333
2022-07-13,SEA,L,-,0,2,0.25
2022-07-14,ATL,L,-,2,8,0.25
2022-07-15,ATL,L,-,2,9,0.231
2022-07-16,ATL,L,-,2,10,0.214
2022-07-17,ATL,W,-,3,10,0.267
2022-07-22,ARI,L,-,2,3,0.429
2022-07-23,ARI,L,-,2,4,0.375
2022-07-24,ARI,W,-,3,4,0.444
2022-07-25,LAD,,L,1,2,0.4
2022-07-26,LAD,,L,1,2,0.4
2022-07-27,LAD,,W,1,2,0.4
2022-07-29,STL,,W,0,0,0.5
2022-07-30,STL,,L,0,0,0.5
2022-07-31,STL,,L,0,0,0.5
2022-08-01,NYM,,L,2,8,0.25
2022-08-02,NYM,,L,2,8,0.25
2022-08-03,NYM,,W,2,8,0.25
2022-08-04,PHI,,L,2,6,0.3
2022-08-05,PHI,,L,2,6,0.3
2022-08-06,PHI,,L,2,6,0.3
2022-08-07,PHI,,L,2,6,0.3
2022-08-08,CHC,,W,0,0,0.5
2022-08-09,CHC,,L,0,0,0.5
2022-08-10,CHC,,L,0,0,0.5
2022-08-12,SD,,W,0,0,0.5
2022-08-13,SD,,W,0,0,0.5
2022-08-14,SD,,L,0,0,0.5
2022-08-15,CHC,,L,0,0,0.5
2022-08-16,CHC,,L,0,0,0.5
2022-08-17,CHC,,L,0,0,0.5
2022-08-18,SD,,W,0,0,0.5
2022-08-19,SD,,W,0,0,0.5
2022-08-20,SD,,L,0,0,0.5
2022-08-21,SD,,W,0,0,0.5
2022-08-23,SEA,,L,0,2,0.25
2022-08-24,SEA,,L,0,2,0.25
2022-08-26,CIN,,W,3,1,0.667
2022-08-27,CIN,,L,3,1,0.667
2022-08-28,CIN,,W,3,1,0.667
2022-08-30,OAK,,L,0,0,0.5
2022-08-31,OAK,,L,0,0,0.5
2022-09-01,OAK,,W,0,0,0.5
2022-09-02,NYM,,L,2,8,0.25
2022-09-03,NYM,,L,2,8,0.25
2022-09-04,NYM,,L,2,8,0.25
2022-09-05,STL,,W,0,0,0.5
2022-09-06,STL,,L,0,0,0.5
2022-09-07,STL,,W,0,0,0.5
2022-09-08,STL,,W,0,0,0.5
2022-09-09,PHI,,L,2,6,0.3
2022-09-10,PHI,,W,2,6,0.3
2022-09-11,PHI,,L,2,6,0.3
2022-09-13,BAL,,L,1,1,0.5
2022-09-14,BAL,,W,1,1,0.5
2022-09-16,MIA,,L,1,12,0.133
2022-09-17,MIA,,L,1,12,0.133
2022-09-18,MIA,,L,1,12,0.133
2022-09-19,ATL,,W,3,10,0.267
2022-09-20,ATL,,L,3,10,0.267
2022-09-21,ATL,,L,3,10,0.267
2022-09-23,MIA,,L,1,12,0.133
2022-09-24,MIA,,L,1,12,0.133
2022-09-25,MIA,,L,1,12,0.133
2022-09-26,ATL,,L,3,10,0.267
2022-09-27,ATL,,L,3,10,0.267
2022-09-28,ATL,,L,3,10,0.267
2022-09-30,PHI,,L,2,6,0.3
2022-10-01,PHI,,W,2,6,0.3
2022-10-01,PHI,,W,2,6,0.3
2022-10-02,PHI,,L,2,6,0.3
2022-10-03,NYM,,L,2,8,0.25
2022-10-04,NYM,,W,2,8,0.25
2022-10-05,NYM,,L,2,8,0.25
Wins,Losses,Win %
53,109,0.327
